context,old_irish,latin,old_english,lithuanian,old_church_slavonic,albanian,greek,armenian,hittite,avestan,sanskrit,tocharian_b
gi.back,T,T,F,T,F,F,T,T,T,F,F,F
gʰ.cons,T,T,T,T,T,T,T,T,T,T,T,T
gʰ.obstr,T,T,T,T,T,T,T,T,T,T,T,T
gʰ.cont,F,T,F,F,F,F,F,F,F,F,F,F
gʰ.voice,T,F,T,T,T,T,F,T,F,T,T,F
gʰ.spread,F,F,F,F,F,F,T,F,F,F,T,F
gʰ.high,T,F,T,T,T,T,T,T,T,T,T,T
gʰ.back,T,F,T,T,T,T,T,T,T,T,T,T
gʰi.distr,F,F,F,F,T,T,F,F,F,T,F,T
gʰi.cons,T,T,T,T,T,T,T,T,T,T,T,T
gʰi.sibilant,F,F,F,F,T,F,F,F,F,T,F,F
gʰi.obstr,T,T,T,T,T,T,T,T,T,T,T,T
gʰi.cor,F,F,F,F,T,T,F,F,F,T,F,T
gʰi.cont,F,T,F,F,T,F,F,F,F,F,T,T
gʰi.delrel,F,F,F,F,F,F,F,F,F,T,F,T
gʰi.voice,T,F,T,T,T,T,F,T,F,T,T,F
gʰi.spread,F,F,F,F,F,F,T,F,F,F,F,F
gʰi.high,T,F,T,T,F,T,T,T,T,F,F,F
gʰi.back,T,F,T,T,F,F,T,T,T,F,F,F
kʷ.cons,T,T,T,T,T,T,T,T,T,T,T,T
kʷ.obstr,T,T,T,T,T,T,T,T,T,T,T,T
kʷ.cont,F,F,T,F,F,F,F,F,F,F,F,F
kʷ.lab,F,T,T,F,F,F,T,F,T,F,F,F
kʷ.spread,F,F,F,F,F,F,F,T,F,F,F,F
kʷ.high,T,T,F,T,T,T,F,T,T,T,T,T
kʷ.back,T,T,F,T,T,T,F,T,T,T,T,T
kʷi.cons,T,T,T,T,T,T,T,T,T,T,T,T
kʷi.sibilant,F,F,F,F,T,T,F,F,F,T,T,F
kʷi.obstr,T,T,T,T,T,T,T,T,T,T,T,T
kʷi.cor,F,F,F,F,T,T,F,F,F,T,T,T
kʷi.cont,F,F,T,F,F,T,F,F,F,F,F,T
kʷi.delrel,F,F,F,F,T,F,F,F,F,T,T,T
kʷi.distr,F,F,F,F,T,F,F,F,F,T,T,T
kʷi.lab,F,T,T,F,F,F,T,F,T,F,F,F
kʷi.spread,F,F,F,F,F,F,F,T,F,F,F,F
kʷi.ant,F,F,F,F,F,T,F,F,F,F,F,F
kʷi.high,T,T,F,T,F,F,F,T,T,F,F,F
kʷi.back,T,T,F,T,F,F,F,T,T,F,F,F
gʷ.cons,T,F,T,T,T,T,T,T,T,T,T,T
gʷ.obstr,T,F,T,T,T,T,T,T,T,T,T,T
gʷ.cont,F,T,F,F,F,F,F,F,F,F,F,F
gʷ.voice,T,T,F,T,T,T,T,F,F,T,T,F
gʷ.lab,T,F,T,F,F,F,T,F,T,F,F,F
gʷ.high,F,T,T,T,T,T,F,T,T,T,T,T
gʷ.back,F,T,T,T,T,T,F,T,T,T,T,T
gʷi.distr,F,F,F,F,T,F,F,F,F,T,T,T
